Method,Task,K=0,K=8,K=16,K=32,K=48,K=64,K=96,K=128
QRScore-SEC,OVERALL,0.6406,0.4635,0.3698,0.2604,0.2188,0.1771,0.1354,0.1094
QRScore-SEC,registrant_name,0.9167,0.7083,0.6250,0.5417,0.3750,0.3333,0.0417,0.0833
QRScore-SEC,headquarters_city,0.7500,0.6667,0.5417,0.4583,0.4167,0.3750,0.3750,0.3333
QRScore-SEC,headquarters_state,0.7500,0.7083,0.6667,0.5833,0.5833,0.4167,0.2917,0.2500
QRScore-SEC,incorporation_state,0.7083,0.5833,0.5417,0.4167,0.3333,0.2083,0.2917,0.2083
QRScore-SEC,incorporation_year,0.2917,0.0417,0.0417,0.0000,0.0000,0.0000,0.0000,0.0000
QRScore-SEC,employees_count_total,0.5833,0.5000,0.3333,0.0000,0.0000,0.0417,0.0417,0.0000
QRScore-SEC,ceo_lastname,0.6250,0.3750,0.1667,0.0833,0.0000,0.0000,0.0000,0.0000
QRScore-SEC,holder_record_amount,0.5000,0.1250,0.0417,0.0000,0.0417,0.0417,0.0417,0.0000
