Method,Task,Baseline(K=0),Drop@K=8,Drop@K=16,Drop@K=32,Drop@K=48,Drop@K=64,Drop@K=96,Drop@K=128
QRScore-SEC,OVERALL,0.6406,0.1771,0.2708,0.3802,0.4219,0.4635,0.5052,0.5312
QRScore-SEC,registrant_name,0.9167,0.2083,0.2917,0.3750,0.5417,0.5833,0.8750,0.8333
QRScore-SEC,headquarters_city,0.7500,0.0833,0.2083,0.2917,0.3333,0.3750,0.3750,0.4167
QRScore-SEC,headquarters_state,0.7500,0.0417,0.0833,0.1667,0.1667,0.3333,0.4583,0.5000
QRScore-SEC,incorporation_state,0.7083,0.1250,0.1667,0.2917,0.3750,0.5000,0.4167,0.5000
QRScore-SEC,incorporation_year,0.2917,0.2500,0.2500,0.2917,0.2917,0.2917,0.2917,0.2917
QRScore-SEC,employees_count_total,0.5833,0.0833,0.2500,0.5833,0.5833,0.5417,0.5417,0.5833
QRScore-SEC,ceo_lastname,0.6250,0.2500,0.4583,0.5417,0.6250,0.6250,0.6250,0.6250
QRScore-SEC,holder_record_amount,0.5000,0.3750,0.4583,0.5000,0.4583,0.4583,0.4583,0.5000
