condition,mean_sum_logprob_rescue,n,task
patch_bottom,-0.050063920639847395,16,ceo_lastname
patch_qr,-0.05324974258767398,16,ceo_lastname
patch_random,0.0,16,ceo_lastname
patch_same_layer,-0.27448917366962855,16,ceo_lastname
patch_bottom,0.034028150486451206,16,employees_count_total
patch_qr,0.741736268228281,16,employees_count_total
patch_random,0.0,16,employees_count_total
patch_same_layer,0.1706774966347514,16,employees_count_total
patch_bottom,-0.0018348708535414957,16,headquarters_state
patch_qr,0.8965637797041778,16,headquarters_state
patch_random,0.0,16,headquarters_state
patch_same_layer,-0.2815697074441076,16,headquarters_state
patch_bottom,-0.05171626185648483,16,registrant_name
patch_qr,1.2749169498959265,16,registrant_name
patch_random,0.0,16,registrant_name
patch_same_layer,-0.11060829450231167,16,registrant_name
