alt_answer,clean_margin,corrupted_margin,idx,layer,margin_denom,margin_recovery,pair_idx,patched_margin,position_count,position_group,source_answer,task
14400,11.053101539611816,-7.755781173706055,277821_1993.txt_employees_count_total_156,0,18.80888271331787,1.0012783087860424,0,11.077145099639893,19,gold_value,4200,employees_count_total
14400,11.053101539611816,-7.755781173706055,277821_1993.txt_employees_count_total_156,1,18.80888271331787,0.9998988467156593,0,11.051198959350586,19,gold_value,4200,employees_count_total
14400,11.053101539611816,-7.755781173706055,277821_1993.txt_employees_count_total_156,2,18.80888271331787,1.0012830495540053,0,11.077234268188477,19,gold_value,4200,employees_count_total
14400,11.053101539611816,-7.755781173706055,277821_1993.txt_employees_count_total_156,3,18.80888271331787,0.9999347700750355,0,11.05187463760376,19,gold_value,4200,employees_count_total
14400,11.053101539611816,-7.755781173706055,277821_1993.txt_employees_count_total_156,4,18.80888271331787,0.9987343924158258,0,11.029296875,19,gold_value,4200,employees_count_total
14400,11.053101539611816,-7.755781173706055,277821_1993.txt_employees_count_total_156,5,18.80888271331787,1.002421340899092,0,11.098644256591797,19,gold_value,4200,employees_count_total
14400,11.053101539611816,-7.755781173706055,277821_1993.txt_employees_count_total_156,6,18.80888271331787,1.0011425757824435,0,11.074592113494873,19,gold_value,4200,employees_count_total
14400,11.053101539611816,-7.755781173706055,277821_1993.txt_employees_count_total_156,7,18.80888271331787,1.0028980542722101,0,11.107610702514648,19,gold_value,4200,employees_count_total
14400,11.053101539611816,-7.755781173706055,277821_1993.txt_employees_count_total_156,8,18.80888271331787,1.0028801813234733,0,11.107274532318115,19,gold_value,4200,employees_count_total
14400,11.053101539611816,-7.755781173706055,277821_1993.txt_employees_count_total_156,9,18.80888271331787,1.0053599832435403,0,11.153916835784912,19,gold_value,4200,employees_count_total
14400,11.053101539611816,-7.755781173706055,277821_1993.txt_employees_count_total_156,10,18.80888271331787,0.985176024207426,0,10.774279117584229,19,gold_value,4200,employees_count_total
14400,11.053101539611816,-7.755781173706055,277821_1993.txt_employees_count_total_156,11,18.80888271331787,0.9832397373908628,0,10.737859725952148,19,gold_value,4200,employees_count_total
