condition,mean_sum_logprob_rescue,n,task
patch_random_01,0.5785275778642844,10,headquarters_state
patch_random_02,0.3066294171922774,10,headquarters_state
patch_random_03,0.0896096963477177,10,headquarters_state
patch_random_04,0.07651157975701171,10,headquarters_state
patch_random_05,-0.021165533081823385,10,headquarters_state
patch_random_06,0.14471410683902583,10,headquarters_state
patch_random_07,0.1797192279452949,10,headquarters_state
patch_random_08,0.13266202266910332,10,headquarters_state
patch_random_09,0.06150683818782804,10,headquarters_state
patch_random_10,-0.1421792340716246,10,headquarters_state
patch_random_11,0.19399201119194276,10,headquarters_state
patch_random_12,-0.06146169027635169,10,headquarters_state
patch_random_13,-1.3506452046496427,10,headquarters_state
patch_random_14,0.06780510001080166,10,headquarters_state
patch_random_15,-0.38716764078740606,10,headquarters_state
patch_random_16,-0.08014131410407276,10,headquarters_state
patch_random_17,0.45312973383240307,10,headquarters_state
patch_random_18,0.25662202203314755,10,headquarters_state
patch_random_19,-0.04941455085605319,10,headquarters_state
patch_same_layer,-0.6768668913487201,10,headquarters_state
patch_bottom,-0.17747150309309884,4,registrant_name
patch_matched_layer_random_00,0.21955569391377033,4,registrant_name
patch_matched_layer_random_01,-2.0340906920213815,4,registrant_name
patch_matched_layer_random_02,-0.10824815228232908,4,registrant_name
patch_matched_layer_random_03,0.4037139101257997,4,registrant_name
patch_matched_layer_random_04,-0.19647538655975322,4,registrant_name
patch_matched_layer_random_05,1.6687965450084261,4,registrant_name
patch_matched_layer_random_06,0.23656032727527382,4,registrant_name
patch_matched_layer_random_07,0.7063247008544766,4,registrant_name
patch_matched_layer_random_08,-2.3130134919948784,4,registrant_name
patch_matched_layer_random_09,1.0207267881684363,4,registrant_name
patch_matched_layer_random_10,0.5469803907980608,4,registrant_name
patch_matched_layer_random_11,-0.5447197446642962,4,registrant_name
patch_matched_layer_random_12,0.7173269162686777,4,registrant_name
patch_matched_layer_random_13,1.1387537895985365,4,registrant_name
patch_matched_layer_random_14,0.17174754831255934,4,registrant_name
patch_matched_layer_random_15,-2.1091458353237806,4,registrant_name
patch_matched_layer_random_16,-0.07436355837632505,4,registrant_name
