condition,mean_margin,mean_margin_shift_vs_cf_clean,mean_margin_shift_vs_cf_qr_ablate,median_margin,median_margin_shift_vs_cf_clean,median_margin_shift_vs_cf_qr_ablate,n,task
cf_clean,-5.248164809804924,0.0,nan,-2.2660641614347696,0.0,nan,12,ceo_lastname
cf_qr_ablate,0.39183815320332843,5.640002963008253,0.0,0.5360040664672852,5.8891882840543985,0.0,12,ceo_lastname
patch_bottom,0.46119829018910724,5.7093630999940315,0.06936013698577881,0.5739855766296387,5.95769047178328,0.07626676559448242,12,ceo_lastname
patch_qr,-0.2561678687731425,4.991996941031782,-0.648006021976471,0.72265625,6.383482092991471,0.49429380893707275,12,ceo_lastname
patch_random,-1.612653136253357,3.635511673551567,-2.0044912894566855,-2.7168445587158203,4.740989441052079,-1.835646390914917,12,ceo_lastname
patch_same_layer,0.9608243306477865,6.208989140452711,0.568986177444458,0.6646561622619629,5.0040259305387735,0.05965161323547363,12,ceo_lastname
cf_clean,-11.917638217681088,0.0,nan,-11.984296321868896,0.0,nan,12,employees_count_total
cf_qr_ablate,-2.786815087000529,9.13082313068056,0.0,-3.151679039001465,9.074567556381226,0.0,12,employees_count_total
patch_bottom,-2.719224731127421,9.198413486553667,0.06759035587310791,-3.1673808097839355,9.121244192123413,0.08881807327270508,12,employees_count_total
patch_qr,-3.996363123257955,7.921275094423133,-1.209548036257426,-4.463774681091309,7.513667583465576,-1.0560288429260254,12,employees_count_total
patch_random,-3.2344330151875815,8.683205202493506,-0.4476179281870524,-3.7054238319396973,8.795733451843262,-0.35455799102783203,12,employees_count_total
patch_same_layer,-2.147827943166097,9.76981027451499,0.638987143834432,-2.7448906898498535,9.572507858276367,0.5607342720031738,12,employees_count_total
cf_clean,-3.444409928653234,0.0,nan,-2.0506275221705437,0.0,nan,12,headquarters_city
cf_qr_ablate,3.683377889295419,7.127787817948653,0.0,5.269293367862701,8.240232827956788,0.0,12,headquarters_city
patch_bottom,3.739141600827376,7.18355152948061,0.05576371153195699,5.311920642852783,8.383778574760072,0.04855889081954956,12,headquarters_city
patch_qr,2.7356033449371657,6.1800132735904,-0.9477745443582535,3.0906814336776733,7.000415849382989,-1.130195677280426,12,headquarters_city
patch_random,2.6325842862327895,6.076994214886024,-1.0507936030626297,4.0831618309021,6.989830374717712,-0.73769211769104,12,headquarters_city
patch_same_layer,3.2092502266168594,6.653660155270093,-0.4741276626785596,3.0193727016448975,7.477387311751954,-0.43094542622566223,12,headquarters_city
cf_clean,0.32030641194432974,0.0,nan,0.8203125298023224,0.0,nan,12,headquarters_state
cf_qr_ablate,3.0861947735150657,2.765888361570736,0.0,3.401720702648163,2.1022550016641617,0.0,12,headquarters_state
patch_bottom,3.1914992928504944,2.8711928809061646,0.10530451933542888,3.3897178769111633,2.313201144337654,0.0388103723526001,12,headquarters_state
patch_qr,3.216527489324411,2.896221077380081,0.13033271580934525,4.119709134101868,2.109547439031303,0.18956980109214783,12,headquarters_state
patch_random,2.8499388992786407,2.529632487334311,-0.23625587423642477,2.957220137119293,1.958067774772644,-0.18750017881393433,12,headquarters_state
patch_same_layer,3.0347946931918464,2.7144882812475166,-0.0514000803232193,3.316837579011917,2.1960664987564087,-0.07040786743164062,12,headquarters_state
cf_clean,-12.379709246665394,0.0,nan,-12.72014307975769,0.0,nan,12,holder_record_amount
cf_qr_ablate,-3.501259167989095,8.8784500786763,0.0,-4.303079605102539,7.092792987823486,0.0,12,holder_record_amount
patch_bottom,-3.3831377824147544,8.996571464250641,0.11812138557434082,-4.2162017822265625,7.164247512817383,0.1093912124633789,12,holder_record_amount
patch_qr,-5.089372992515564,7.290336254149831,-1.588113824526469,-5.25998592376709,6.477921724319458,-1.1357598304748535,12,holder_record_amount
patch_random,-4.176534970601399,8.203174276063995,-0.6752758026123047,-4.448121070861816,6.664625406265259,-0.3616666793823242,12,holder_record_amount
patch_same_layer,-2.887250224749247,9.492459021916147,0.6140089432398478,-3.8497300148010254,7.816400068462826,0.2214035987854004,12,holder_record_amount
cf_clean,-8.150314968623812,0.0,nan,-9.249978126870701,0.0,nan,12,incorporation_state
cf_qr_ablate,0.42330219130963087,8.573617159933443,0.0,0.8215999603271484,8.390501225367188,0.0,12,incorporation_state
patch_bottom,0.5216397494077682,8.67195471803158,0.09833755809813738,0.8216205835342407,8.382682943716645,0.03546112775802612,12,incorporation_state
patch_qr,0.4491561173150937,8.599471085938907,0.025853926005462807,0.8828057050704956,8.578270131722093,0.07022406160831451,12,incorporation_state
patch_random,-0.09071573832382758,8.059599230299986,-0.5140179296334585,0.7124044001102448,7.984430747106671,-0.3281249552965164,12,incorporation_state
patch_same_layer,0.4066923021649321,8.557007270788745,-0.01660988914469878,0.8019904494285583,8.515469515696168,-0.058611273765563965,12,incorporation_state
cf_clean,-8.430865727129762,0.0,nan,-9.72170341014862,0.0,nan,12,incorporation_year
cf_qr_ablate,-2.6179508566856384,5.812914870444122,0.0,-3.133993983268738,6.597283225506544,0.0,12,incorporation_year
patch_bottom,-2.5359427432219186,5.8949229839078425,0.08200811346371968,-2.948827028274536,6.7344994358718395,0.04973495006561279,12,incorporation_year
patch_qr,-3.2734151581923165,5.157450568937445,-0.6554643015066782,-3.9422051906585693,4.909946333616972,-0.6031515598297119,12,incorporation_year
patch_random,-3.0175891568263373,5.413276570303424,-0.39963830014069873,-3.5601086616516113,6.237806063145399,-0.3717157244682312,12,incorporation_year
patch_same_layer,-2.0799258251984916,6.35093990193127,0.538025031487147,-2.23743736743927,7.020200382918119,0.3939327001571655,12,incorporation_year
cf_clean,5.576194154045273,0.0,nan,8.7534195316548,0.0,nan,12,registrant_name
cf_qr_ablate,6.247327903285623,0.6711337492403496,0.0,7.432494357228279,-0.364009081851691,0.0,12,registrant_name
patch_bottom,6.2729425467550755,0.6967483927098025,0.025614643469452858,7.3995959386229515,-0.27089745132252574,0.03901466354727745,12,registrant_name
patch_qr,7.565559131403764,1.9893649773584912,1.3182312281181414,8.341094329953194,0.8760466054081917,1.5511052459478378,12,registrant_name
patch_random,6.1883832244202495,0.6121890703749765,-0.058944678865373135,6.970487654209137,-0.4300927980802953,-0.06338152289390564,12,registrant_name
patch_same_layer,6.369653202282886,0.7934590482376128,0.12232529899726312,7.598594009876251,-0.8046227372251451,0.24475650489330292,12,registrant_name
