condition,mean_sum_logprob_rescue,n,task
patch_random_01,-0.04380462719337181,7,headquarters_state
patch_random_02,-0.02101641793794374,7,headquarters_state
patch_random_03,0.14607866313070048,7,headquarters_state
patch_random_04,-0.07285453957769476,7,headquarters_state
patch_random_05,-0.21319683211437684,7,headquarters_state
patch_random_06,0.20794359145841207,7,headquarters_state
patch_random_07,0.04314906868552908,7,headquarters_state
patch_random_08,0.16264824762052052,7,headquarters_state
patch_random_09,0.17014666987011023,7,headquarters_state
patch_random_10,-0.1169395596919222,7,headquarters_state
patch_random_11,0.14689915936731102,7,headquarters_state
patch_random_12,0.019936682075431526,7,headquarters_state
patch_random_13,0.10623940251649713,7,headquarters_state
patch_random_14,0.026448252725498066,7,headquarters_state
patch_random_15,0.026050485307083864,7,headquarters_state
patch_random_16,-0.32508187103929015,7,headquarters_state
patch_random_17,0.002747897369155894,7,headquarters_state
patch_random_18,0.06550223906305447,7,headquarters_state
patch_random_19,-0.0025530320834658777,7,headquarters_state
patch_same_layer,0.31975787523962534,7,headquarters_state
patch_bottom,-0.3618808227661688,1,registrant_name
patch_matched_layer_random_00,-0.6430131285563739,1,registrant_name
patch_matched_layer_random_01,2.6088769781586425,1,registrant_name
patch_matched_layer_random_02,1.585489042364596,1,registrant_name
patch_matched_layer_random_03,0.584686635929218,1,registrant_name
patch_matched_layer_random_04,0.4474236202024998,1,registrant_name
patch_matched_layer_random_05,-5.243388406150924,1,registrant_name
patch_matched_layer_random_06,-3.299737160097162,1,registrant_name
patch_matched_layer_random_07,-2.2540442292250646,1,registrant_name
patch_matched_layer_random_08,0.39537359214907175,1,registrant_name
patch_matched_layer_random_09,1.6898617934707747,1,registrant_name
patch_matched_layer_random_10,-1.306744917625952,1,registrant_name
patch_matched_layer_random_11,0.3712190866341374,1,registrant_name
patch_matched_layer_random_12,-0.22330920701190116,1,registrant_name
patch_matched_layer_random_13,-2.853274411801926,1,registrant_name
patch_matched_layer_random_14,-0.31301354291838523,1,registrant_name
patch_matched_layer_random_15,-0.9937005775310519,1,registrant_name
patch_matched_layer_random_16,2.3211311186990375,1,registrant_name
patch_matched_layer_random_17,3.198763297380896,1,registrant_name
patch_matched_layer_random_18,0.5956050749267308,1,registrant_name
patch_matched_layer_random_19,-1.3522889021534505,1,registrant_name
patch_qr,2.5351065414322815,1,registrant_name
patch_random_00,-1.0714830464343028,1,registrant_name
patch_random_01,-0.670649394863479,1,registrant_name
patch_random_02,-0.9303412663127044,1,registrant_name
patch_random_03,1.4431674504081466,1,registrant_name
patch_random_04,2.3565125949252974,1,registrant_name
patch_random_05,-0.014647137150466045,1,registrant_name
patch_random_06,0.6122669073699323,1,registrant_name
patch_random_07,-1.1452142867541903,1,registrant_name
patch_random_08,-0.6468403776741748,1,registrant_name
patch_random_09,-1.091525848910172,1,registrant_name
