clean_sum_logprob,condition,condition_damage,condition_sum_logprob,fraction_of_full_ablation_damage,full_ablation_damage,full_ablation_sum_logprob,gold,idx,span_end,span_len,span_start,task
-0.001443550456315279,edge_gold,-4.9045891501009464e-05,-0.0013945045648142695,-8.654360389429537e-06,5.667188480030745,-5.6686320304870605,Popham,828530_1993.txt_ceo_lastname_113,2691,22,2669,ceo_lastname
-0.001443550456315279,edge_distractor,1.9283965229988098e-05,-0.001462834421545267,3.4027393473744993e-06,5.667188480030745,-5.6686320304870605,Popham,828530_1993.txt_ceo_lastname_113,375,22,353,ceo_lastname
-0.001443550456315279,edge_random,1.9284081645309925e-05,-0.001462834537960589,3.4027598893632187e-06,5.667188480030745,-5.6686320304870605,Popham,828530_1993.txt_ceo_lastname_113,2297,22,2275,ceo_lastname
-0.001443550456315279,edge_nonqr_gold,-5.118770059198141e-05,-0.0013923627557232976,-9.032291897887206e-06,5.667188480030745,-5.6686320304870605,Popham,828530_1993.txt_ceo_lastname_113,2691,22,2669,ceo_lastname
-0.001443550456315279,edge_bottom_gold,2.595013938844204e-05,-0.001469500595703721,4.579014705419019e-06,5.667188480030745,-5.6686320304870605,Popham,828530_1993.txt_ceo_lastname_113,2691,22,2669,ceo_lastname
-0.08891995996236801,edge_gold,0.0013344958424568176,-0.09025445580482483,0.00015240918167818,8.756006874144077,-8.844926834106445,Goldsmith,201461_1993.txt_ceo_lastname_77,3336,41,3295,ceo_lastname
-0.08891995996236801,edge_distractor,0.0013346299529075623,-0.09025458991527557,0.00015242449807213357,8.756006874144077,-8.844926834106445,Goldsmith,201461_1993.txt_ceo_lastname_77,317,41,276,ceo_lastname
-0.08891995996236801,edge_random,0.002672046422958374,-0.09159200638532639,0.0003051672367741915,8.756006874144077,-8.844926834106445,Goldsmith,201461_1993.txt_ceo_lastname_77,2030,41,1989,ceo_lastname
-0.08891995996236801,edge_nonqr_gold,0.00133485347032547,-0.09025481343269348,0.00015245002539538953,8.756006874144077,-8.844926834106445,Goldsmith,201461_1993.txt_ceo_lastname_77,3336,41,3295,ceo_lastname
-0.08891995996236801,edge_bottom_gold,1.646578311920166e-05,-0.08893642574548721,1.880512813189315e-06,8.756006874144077,-8.844926834106445,Goldsmith,201461_1993.txt_ceo_lastname_77,3336,41,3295,ceo_lastname
-0.023493312299251556,edge_gold,0.002999119460582733,-0.02649243175983429,0.0004549425157326889,6.592304207384586,-6.615797519683838,Loucks,10456_1993.txt_ceo_lastname_99,3232,110,3122,ceo_lastname
-0.023493312299251556,edge_distractor,-0.00016792304813861847,-0.023325389251112938,-2.5472587862452394e-05,6.592304207384586,-6.615797519683838,Loucks,10456_1993.txt_ceo_lastname_99,378,110,268,ceo_lastname
-0.023493312299251556,edge_random,-0.0004641283303499222,-0.023029183968901634,-7.04045680765177e-05,6.592304207384586,-6.615797519683838,Loucks,10456_1993.txt_ceo_lastname_99,5019,110,4909,ceo_lastname
-0.023493312299251556,edge_nonqr_gold,-0.000500241294503212,-0.022993071004748344,-7.58826168766378e-05,6.592304207384586,-6.615797519683838,Loucks,10456_1993.txt_ceo_lastname_99,3232,110,3122,ceo_lastname
-0.023493312299251556,edge_bottom_gold,-0.00019459426403045654,-0.0232987180352211,-2.9518398712922773e-05,6.592304207384586,-6.615797519683838,Loucks,10456_1993.txt_ceo_lastname_99,3232,110,3122,ceo_lastname
-0.0003502972249407321,edge_gold,-2.5979039492085576e-05,-0.00032431818544864655,-9.129667834038086e-06,2.8455623977060895,-2.8459126949310303,Leva,77227_1993.txt_ceo_lastname_91,3669,174,3495,ceo_lastname
-0.0003502972249407321,edge_distractor,-4.8859219532459974e-06,-0.0003454113029874861,-1.7170320908038126e-06,2.8455623977060895,-2.8459126949310303,Leva,77227_1993.txt_ceo_lastname_91,767,174,593,ceo_lastname
-0.0003502972249407321,edge_random,-1.1920928955078125e-07,-0.00035017801565118134,-4.18930506134324e-08,2.8455623977060895,-2.8459126949310303,Leva,77227_1993.txt_ceo_lastname_91,539,174,365,ceo_lastname
-0.0003502972249407321,edge_nonqr_gold,-4.290021024644375e-06,-0.00034600720391608775,-1.5076179767144504e-06,2.8455623977060895,-2.8459126949310303,Leva,77227_1993.txt_ceo_lastname_91,3669,174,3495,ceo_lastname
-0.0003502972249407321,edge_bottom_gold,-9.533541742712259e-07,-0.0003493438707664609,-3.3503189915630003e-07,2.8455623977060895,-2.8459126949310303,Leva,77227_1993.txt_ceo_lastname_91,3669,174,3495,ceo_lastname
-0.00022122815425973386,edge_gold,-6.161945930216461e-05,-0.00015960869495756924,-6.737642657801374e-06,9.145551705805701,-9.145772933959961,Beard,764764_1993.txt_ceo_lastname_45,3672,27,3645,ceo_lastname
-0.00022122815425973386,edge_distractor,-1.5494006220251322e-06,-0.00021967875363770872,-1.6941576318917478e-07,9.145551705805701,-9.145772933959961,Beard,764764_1993.txt_ceo_lastname_45,933,27,906,ceo_lastname
-0.00022122815425973386,edge_random,3.575260052457452e-07,-0.0002215856802649796,3.909288545367728e-08,9.145551705805701,-9.145772933959961,Beard,764764_1993.txt_ceo_lastname_45,7038,27,7011,ceo_lastname
-0.00022122815425973386,edge_nonqr_gold,-1.5494006220251322e-06,-0.00021967875363770872,-1.6941576318917478e-07,9.145551705805701,-9.145772933959961,Beard,764764_1993.txt_ceo_lastname_45,3672,27,3645,ceo_lastname
-0.00022122815425973386,edge_bottom_gold,2.1452578948810697e-06,-0.00022337341215461493,2.3456845074958523e-07,9.145551705805701,-9.145772933959961,Beard,764764_1993.txt_ceo_lastname_45,3672,27,3645,ceo_lastname
-0.0023761154152452946,edge_gold,0.0003623028751462698,-0.0027384182903915644,3.868828015495835e-05,9.364667379762977,-9.367043495178223,Newton,55387_1993.txt_ceo_lastname_11,3812,21,3791,ceo_lastname
-0.0023761154152452946,edge_distractor,9.513460099697113e-07,-0.0023770667612552643,1.0158887351680719e-07,9.364667379762977,-9.367043495178223,Newton,55387_1993.txt_ceo_lastname_11,873,21,852,ceo_lastname
-0.0023761154152452946,edge_random,2.1406449377536774e-06,-0.0023782560601830482,2.2858739674829303e-07,9.364667379762977,-9.367043495178223,Newton,55387_1993.txt_ceo_lastname_11,4863,21,4842,ceo_lastname
-0.0023761154152452946,edge_nonqr_gold,-9.145867079496384e-05,-0.0022846567444503307,-9.766355502663746e-06,9.364667379762977,-9.367043495178223,Newton,55387_1993.txt_ceo_lastname_11,3812,21,3791,ceo_lastname
-0.0023761154152452946,edge_bottom_gold,-7.25453719496727e-06,-0.0023688608780503273,-7.746711015753006e-07,9.364667379762977,-9.367043495178223,Newton,55387_1993.txt_ceo_lastname_11,3812,21,3791,ceo_lastname
-0.027208643034100533,edge_gold,-0.002727700397372246,-0.024480942636728287,-0.00033713188415582934,8.090900106355548,-8.118108749389648,Peterson,865227_1993.txt_ceo_lastname_51,3514,23,3491,ceo_lastname
-0.027208643034100533,edge_distractor,8.119270205497742e-06,-0.02721676230430603,1.003506420641618e-06,8.090900106355548,-8.118108749389648,Peterson,865227_1993.txt_ceo_lastname_51,351,23,328,ceo_lastname
-0.027208643034100533,edge_random,5.5674463510513306e-06,-0.027214210480451584,6.881121108735481e-07,8.090900106355548,-8.118108749389648,Peterson,865227_1993.txt_ceo_lastname_51,4326,23,4303,ceo_lastname
-0.027208643034100533,edge_nonqr_gold,-0.0008132141083478928,-0.02639542892575264,-0.00010050972050799372,8.090900106355548,-8.118108749389648,Peterson,865227_1993.txt_ceo_lastname_51,3514,23,3491,ceo_lastname
-0.027208643034100533,edge_bottom_gold,0.0004183594137430191,-0.02762700244784355,5.170740069011484e-05,8.090900106355548,-8.118108749389648,Peterson,865227_1993.txt_ceo_lastname_51,3514,23,3491,ceo_lastname
-0.24078139662742615,edge_gold,0.7537394464015961,-0.9945208430290222,0.05225427528502391,14.42445507645607,-14.665236473083496,Goodes,104669_1993.txt_ceo_lastname_84,2984,66,2918,ceo_lastname
-0.24078139662742615,edge_distractor,0.00212937593460083,-0.24291077256202698,0.00014762262583329383,14.42445507645607,-14.665236473083496,Goodes,104669_1993.txt_ceo_lastname_84,382,66,316,ceo_lastname
-0.24078139662742615,edge_random,-0.0002586245536804199,-0.24052277207374573,-1.7929589180984237e-05,14.42445507645607,-14.665236473083496,Goodes,104669_1993.txt_ceo_lastname_84,2650,66,2584,ceo_lastname
-0.24078139662742615,edge_nonqr_gold,-0.00010207295417785645,-0.2406793236732483,-7.076381994108206e-06,14.42445507645607,-14.665236473083496,Goodes,104669_1993.txt_ceo_lastname_84,2984,66,2918,ceo_lastname
-0.24078139662742615,edge_bottom_gold,0.0022623389959335327,-0.24304373562335968,0.00015684051729802776,14.42445507645607,-14.665236473083496,Goodes,104669_1993.txt_ceo_lastname_84,2984,66,2918,ceo_lastname
-0.003006146289408207,edge_gold,0.0027825096622109413,-0.005788655951619148,0.00037918305315368464,7.338169886730611,-7.3411760330200195,Gressette,754737_1993.txt_ceo_lastname_200,3768,32,3736,ceo_lastname
-0.003006146289408207,edge_distractor,-3.7915073335170746e-05,-0.002968231216073036,-5.166829593810769e-06,7.338169886730611,-7.3411760330200195,Gressette,754737_1993.txt_ceo_lastname_200,1044,32,1012,ceo_lastname
-0.003006146289408207,edge_random,-3.601284697651863e-05,-0.0029701334424316883,-4.907606056060322e-06,7.338169886730611,-7.3411760330200195,Gressette,754737_1993.txt_ceo_lastname_200,3410,32,3378,ceo_lastname
-0.003006146289408207,edge_nonqr_gold,-0.00027760141529142857,-0.0027285448741167784,-3.7829788568047015e-05,7.338169886730611,-7.3411760330200195,Gressette,754737_1993.txt_ceo_lastname_200,3768,32,3736,ceo_lastname
-0.003006146289408207,edge_bottom_gold,-4.706648178398609e-05,-0.002959079807624221,-6.4139264299529194e-06,7.338169886730611,-7.3411760330200195,Gressette,754737_1993.txt_ceo_lastname_200,3768,32,3736,ceo_lastname
-0.0007475343300029635,edge_gold,0.0002539098495617509,-0.0010014441795647144,2.4846201503312217e-05,10.21926226944197,-10.220009803771973,Lenzie,71180_1993.txt_ceo_lastname_215,1255,15,1240,ceo_lastname
-0.0007475343300029635,edge_distractor,-8.579634595662355e-06,-0.0007389546954073012,-8.395551821110912e-07,10.21926226944197,-10.220009803771973,Lenzie,71180_1993.txt_ceo_lastname_215,936,15,921,ceo_lastname
-0.0007475343300029635,edge_random,-1.036719186231494e-05,-0.0007371671381406486,-1.014475564769026e-06,10.21926226944197,-10.220009803771973,Lenzie,71180_1993.txt_ceo_lastname_215,4089,15,4074,ceo_lastname
-0.0007475343300029635,edge_nonqr_gold,-8.174491813406348e-05,-0.0006657894118689001,-7.999101694307258e-06,10.21926226944197,-10.220009803771973,Lenzie,71180_1993.txt_ceo_lastname_215,1255,15,1240,ceo_lastname
-0.0007475343300029635,edge_bottom_gold,1.310720108449459e-06,-0.000748845050111413,1.282597582771532e-07,10.21926226944197,-10.220009803771973,Lenzie,71180_1993.txt_ceo_lastname_215,1255,15,1240,ceo_lastname
-0.0004108435823582113,edge_gold,0.00020366720855236053,-0.0006145107909105718,1.9091051827080287e-05,10.668202590255532,-10.66861343383789,Allender,34501_1993.txt_ceo_lastname_220,3664,20,3644,ceo_lastname
-0.0004108435823582113,edge_distractor,-2.025393769145012e-06,-0.00040881818858906627,-1.8985332833808682e-07,10.668202590255532,-10.66861343383789,Allender,34501_1993.txt_ceo_lastname_220,985,20,965,ceo_lastname
-0.0004108435823582113,edge_random,-2.6216148398816586e-06,-0.0004082219675183296,-2.457410062943756e-07,10.668202590255532,-10.66861343383789,Allender,34501_1993.txt_ceo_lastname_220,4024,20,4004,ceo_lastname
-0.0004108435823582113,edge_nonqr_gold,1.2051896192133427e-07,-0.0004109641013201326,1.1297025989309367e-08,10.668202590255532,-10.66861343383789,Allender,34501_1993.txt_ceo_lastname_220,3664,20,3644,ceo_lastname
-0.0004108435823582113,edge_bottom_gold,-4.7619687393307686e-07,-0.0004103673854842782,-4.4637029518734575e-08,10.668202590255532,-10.66861343383789,Allender,34501_1993.txt_ceo_lastname_220,3664,20,3644,ceo_lastname
-0.0012001722352579236,edge_gold,0.0005321147618815303,-0.0017322869971394539,0.00013470884705219261,3.950109985540621,-3.951310157775879,Zandman,103730_1993.txt_ceo_lastname_6,3417,28,3389,ceo_lastname
-0.0012001722352579236,edge_distractor,-1.095642801374197e-05,-0.0011892158072441816,-2.773702011804223e-06,3.950109985540621,-3.951310157775879,Zandman,103730_1993.txt_ceo_lastname_6,927,28,899,ceo_lastname
-0.0012001722352579236,edge_random,4.761386662721634e-07,-0.0012006483739241958,1.205380781839162e-07,3.950109985540621,-3.951310157775879,Zandman,103730_1993.txt_ceo_lastname_6,5567,28,5539,ceo_lastname
-0.0012001722352579236,edge_nonqr_gold,-5.477841477841139e-05,-0.0011453938204795122,-1.386756697381283e-05,3.950109985540621,-3.951310157775879,Zandman,103730_1993.txt_ceo_lastname_6,3417,28,3389,ceo_lastname
-0.0012001722352579236,edge_bottom_gold,5.95487654209137e-06,-0.001206127111800015,1.5075217054434427e-06,3.950109985540621,-3.951310157775879,Zandman,103730_1993.txt_ceo_lastname_6,3417,28,3389,ceo_lastname
-10.800161361694336,edge_gold,0.020607948303222656,-10.820769309997559,0.004287199725892215,4.806855201721191,-15.607016563415527,86168,66740_1993.txt_employees_count_total_197,3114,9,3105,employees_count_total
