clean_margin,clean_pos_sum_logprob,component_type,condition,corrupted_margin,corrupted_pos_sum_logprob,heads,idx,layer,margin_denom,margin_recovery,pair_idx,patched_margin,patched_neg_sum_logprob,patched_pos_sum_logprob,position_count,position_group,task
11.053101539611816,-6.779547691345215,head,candidate_13-18,-7.755781173706055,-17.87137794494629,['13-18'],277821_1993.txt_employees_count_total_156,,18.80888271331787,0.0005013045224441898,0,-7.746352195739746,-10.13106632232666,-17.877418518066406,2,query,employees_count_total
11.053101539611816,-6.779547691345215,head,candidate_14-31,-7.755781173706055,-17.87137794494629,['14-31'],277821_1993.txt_employees_count_total_156,,18.80888271331787,-0.0002474325952794221,0,-7.760435104370117,-10.115556716918945,-17.875991821289062,2,query,employees_count_total
11.053101539611816,-6.779547691345215,head_set,qr_top1,-7.755781173706055,-17.87137794494629,['14-31'],277821_1993.txt_employees_count_total_156,,18.80888271331787,-0.0002474325952794221,0,-7.760435104370117,-10.115556716918945,-17.875991821289062,2,query,employees_count_total
11.053101539611816,-6.779547691345215,head_set,qr_top2,-7.755781173706055,-17.87137794494629,"['14-31', '13-18']",277821_1993.txt_employees_count_total_156,,18.80888271331787,0.00015307356662880645,0,-7.752902030944824,-10.115496635437012,-17.868398666381836,2,query,employees_count_total
11.053101539611816,-6.779547691345215,head_set,qr_top4,-7.755781173706055,-17.87137794494629,"['14-31', '13-18', '8-11', '8-8']",277821_1993.txt_employees_count_total_156,,18.80888271331787,0.0022713602399041543,0,-7.713059425354004,-10.131011009216309,-17.844070434570312,2,query,employees_count_total
11.053101539611816,-6.779547691345215,head_set,qr_top16,-7.755781173706055,-17.87137794494629,"['14-31', '13-18', '8-11', '8-8', '14-29', '14-13', '10-31', '14-22', '13-13', '9-27', '13-6', '14-20', '13-8', '10-18', '17-24', '17-29']",277821_1993.txt_employees_count_total_156,,18.80888271331787,0.003409550178189496,0,-7.691651344299316,-10.131112098693848,-17.822763442993164,2,query,employees_count_total
11.053101539611816,-6.779547691345215,head_set,candidate_set,-7.755781173706055,-17.87137794494629,"['13-18', '14-31']",277821_1993.txt_employees_count_total_156,,18.80888271331787,0.00015307356662880645,0,-7.752902030944824,-10.115496635437012,-17.868398666381836,2,query,employees_count_total
11.053101539611816,-6.779547691345215,control,bottom_top1,-7.755781173706055,-17.87137794494629,['1-12'],277821_1993.txt_employees_count_total_156,,18.80888271331787,-0.000278767296894726,0,-7.761024475097656,-10.131134033203125,-17.89215850830078,2,query,employees_count_total
11.053101539611816,-6.779547691345215,control,same_layer_top1,-7.755781173706055,-17.87137794494629,['14-0'],277821_1993.txt_employees_count_total_156,,18.80888271331787,-0.0011898567035701227,0,-7.77816104888916,-10.115580558776855,-17.893741607666016,2,query,employees_count_total
11.053101539611816,-6.779547691345215,control,random00_top1,-7.755781173706055,-17.87137794494629,['9-0'],277821_1993.txt_employees_count_total_156,,18.80888271331787,-2.2055979292325537e-05,0,-7.756196022033691,-10.13120174407959,-17.88739776611328,2,query,employees_count_total
11.053101539611816,-6.779547691345215,control,random01_top1,-7.755781173706055,-17.87137794494629,['29-20'],277821_1993.txt_employees_count_total_156,,18.80888271331787,-0.00026588863312403474,0,-7.760782241821289,-10.115625381469727,-17.876407623291016,2,query,employees_count_total
11.053101539611816,-6.779547691345215,control,random02_top1,-7.755781173706055,-17.87137794494629,['4-26'],277821_1993.txt_employees_count_total_156,,18.80888271331787,-0.0010708051187922369,0,-7.775921821594238,-10.131157875061035,-17.907079696655273,2,query,employees_count_total
