condition,gold,idx,mean_logprob,num_answer_tokens,span_end,span_start,sum_logprob,task
edge_nonqr_gold,Peterson,865227_1993.txt_ceo_lastname_51,-0.012400957755744457,2,3514,3491,-0.024801915511488914,ceo_lastname
edge_bottom_gold,Peterson,865227_1993.txt_ceo_lastname_51,-0.013825909234583378,2,3514,3491,-0.027651818469166756,ceo_lastname
clean,Goodes,104669_1993.txt_ceo_lastname_84,-0.12039069831371307,2,,,-0.24078139662742615,ceo_lastname
full_qr_ablation,Goodes,104669_1993.txt_ceo_lastname_84,-7.332618236541748,2,,,-14.665236473083496,ceo_lastname
edge_gold,Goodes,104669_1993.txt_ceo_lastname_84,-0.15491491556167603,2,2984,2918,-0.30982983112335205,ceo_lastname
edge_distractor,Goodes,104669_1993.txt_ceo_lastname_84,-0.12038367241621017,2,382,316,-0.24076734483242035,ceo_lastname
edge_random,Goodes,104669_1993.txt_ceo_lastname_84,-0.12193653732538223,2,2650,2584,-0.24387307465076447,ceo_lastname
edge_nonqr_gold,Goodes,104669_1993.txt_ceo_lastname_84,-0.12386691570281982,2,2984,2918,-0.24773383140563965,ceo_lastname
edge_bottom_gold,Goodes,104669_1993.txt_ceo_lastname_84,-0.12177027761936188,2,2984,2918,-0.24354055523872375,ceo_lastname
clean,Gressette,754737_1993.txt_ceo_lastname_200,-0.0010020488407462835,3,,,-0.003006146289408207,ceo_lastname
full_qr_ablation,Gressette,754737_1993.txt_ceo_lastname_200,-2.44705867767334,3,,,-7.3411760330200195,ceo_lastname
edge_gold,Gressette,754737_1993.txt_ceo_lastname_200,-0.0013819768792018294,3,3768,3736,-0.0041459305211901665,ceo_lastname
edge_distractor,Gressette,754737_1993.txt_ceo_lastname_200,-0.0009895688854157925,3,1044,1012,-0.0029687066562473774,ceo_lastname
edge_random,Gressette,754737_1993.txt_ceo_lastname_200,-0.000989370048046112,3,3410,3378,-0.0029681099113076925,ceo_lastname
edge_nonqr_gold,Gressette,754737_1993.txt_ceo_lastname_200,-0.0009225680842064321,3,3768,3736,-0.0027677041944116354,ceo_lastname
edge_bottom_gold,Gressette,754737_1993.txt_ceo_lastname_200,-0.0009996328735724092,3,3768,3736,-0.0029988985043019056,ceo_lastname
clean,Lenzie,71180_1993.txt_ceo_lastname_215,-0.00037376716500148177,2,,,-0.0007475343300029635,ceo_lastname
full_qr_ablation,Lenzie,71180_1993.txt_ceo_lastname_215,-5.110004901885986,2,,,-10.220009803771973,ceo_lastname
edge_gold,Lenzie,71180_1993.txt_ceo_lastname_215,-0.0008759131887927651,2,1255,1240,-0.0017518263775855303,ceo_lastname
edge_distractor,Lenzie,71180_1993.txt_ceo_lastname_215,-0.00037507747765630484,2,936,921,-0.0007501549553126097,ceo_lastname
edge_random,Lenzie,71180_1993.txt_ceo_lastname_215,-0.0003690006269607693,2,4089,4074,-0.0007380012539215386,ceo_lastname
edge_nonqr_gold,Lenzie,71180_1993.txt_ceo_lastname_215,-0.00038604100700467825,2,1255,1240,-0.0007720820140093565,ceo_lastname
edge_bottom_gold,Lenzie,71180_1993.txt_ceo_lastname_215,-0.0003775205696001649,2,1255,1240,-0.0007550411392003298,ceo_lastname
clean,Allender,34501_1993.txt_ceo_lastname_220,-0.00020542179117910564,2,,,-0.0004108435823582113,ceo_lastname
full_qr_ablation,Allender,34501_1993.txt_ceo_lastname_220,-5.334306716918945,2,,,-10.66861343383789,ceo_lastname
edge_gold,Allender,34501_1993.txt_ceo_lastname_220,-0.0007140339002944529,2,3664,3644,-0.0014280678005889058,ceo_lastname
edge_distractor,Allender,34501_1993.txt_ceo_lastname_220,-0.00020518366363830864,2,985,965,-0.0004103673272766173,ceo_lastname
