condition,gold,idx,mean_logprob,num_answer_tokens,sum_logprob,task
clean,Pritzker,100923_1993.txt_ceo_lastname_190,-1.196051380247809e-05,3,-3.588154140743427e-05,ceo_lastname
qr_ablate,Pritzker,100923_1993.txt_ceo_lastname_190,-4.668818291975185e-05,3,-0.00014006454148329794,ceo_lastname
patch_qr,Pritzker,100923_1993.txt_ceo_lastname_190,-1.2397611499181949e-05,3,-3.719283267855644e-05,ceo_lastname
patch_bottom,Pritzker,100923_1993.txt_ceo_lastname_190,-4.668818291975185e-05,3,-0.00014006454148329794,ceo_lastname
patch_same_layer,Pritzker,100923_1993.txt_ceo_lastname_190,-5.5667507695034146e-05,3,-0.00016700252308510244,ceo_lastname
patch_random,Pritzker,100923_1993.txt_ceo_lastname_190,-4.668818291975185e-05,3,-0.00014006454148329794,ceo_lastname
clean,Beard,764764_1993.txt_ceo_lastname_45,-0.00011150790669489652,2,-0.00022301581338979304,ceo_lastname
qr_ablate,Beard,764764_1993.txt_ceo_lastname_45,-0.001787088462151587,2,-0.003574176924303174,ceo_lastname
patch_qr,Beard,764764_1993.txt_ceo_lastname_45,-0.00013254322402644902,2,-0.00026508644805289805,ceo_lastname
patch_bottom,Beard,764764_1993.txt_ceo_lastname_45,-0.001787088462151587,2,-0.003574176924303174,ceo_lastname
patch_same_layer,Beard,764764_1993.txt_ceo_lastname_45,-0.0024093668907880783,2,-0.004818733781576157,ceo_lastname
patch_random,Beard,764764_1993.txt_ceo_lastname_45,-0.001787088462151587,2,-0.003574176924303174,ceo_lastname
clean,Popham,828530_1993.txt_ceo_lastname_113,-1.053001506079454e-05,3,-3.1590043363394216e-05,ceo_lastname
qr_ablate,Popham,828530_1993.txt_ceo_lastname_113,-3.222477971576154e-05,3,-9.667433914728463e-05,ceo_lastname
patch_qr,Popham,828530_1993.txt_ceo_lastname_113,-4.728611656901194e-06,3,-1.418583451595623e-05,ceo_lastname
patch_bottom,Popham,828530_1993.txt_ceo_lastname_113,-3.222477971576154e-05,3,-9.667433914728463e-05,ceo_lastname
patch_same_layer,Popham,828530_1993.txt_ceo_lastname_113,-3.0357337891473435e-05,3,-9.10720118554309e-05,ceo_lastname
patch_random,Popham,828530_1993.txt_ceo_lastname_113,-3.222477971576154e-05,3,-9.667433914728463e-05,ceo_lastname
clean,Sudikoff,799319_1993.txt_ceo_lastname_127,-4.142500529269455e-06,4,-1.657000211707782e-05,ceo_lastname
qr_ablate,Sudikoff,799319_1993.txt_ceo_lastname_127,-9.745272109284997e-06,4,-3.898108843713999e-05,ceo_lastname
patch_qr,Sudikoff,799319_1993.txt_ceo_lastname_127,-4.053094471601071e-06,4,-1.6212377886404283e-05,ceo_lastname
patch_bottom,Sudikoff,799319_1993.txt_ceo_lastname_127,-9.745272109284997e-06,4,-3.898108843713999e-05,ceo_lastname
patch_same_layer,Sudikoff,799319_1993.txt_ceo_lastname_127,-1.0162491889786907e-05,4,-4.0649967559147626e-05,ceo_lastname
patch_random,Sudikoff,799319_1993.txt_ceo_lastname_127,-9.745272109284997e-06,4,-3.898108843713999e-05,ceo_lastname
clean,Goode,40878_1993.txt_ceo_lastname_19,-1.1443974472058471e-05,2,-2.2887948944116943e-05,ceo_lastname
qr_ablate,Goode,40878_1993.txt_ceo_lastname_19,-2.8669051971519366e-05,2,-5.733810394303873e-05,ceo_lastname
patch_qr,Goode,40878_1993.txt_ceo_lastname_19,-8.940625775721855e-06,2,-1.788125155144371e-05,ceo_lastname
patch_bottom,Goode,40878_1993.txt_ceo_lastname_19,-2.8669051971519366e-05,2,-5.733810394303873e-05,ceo_lastname
patch_same_layer,Goode,40878_1993.txt_ceo_lastname_19,-2.8609450964722782e-05,2,-5.7218901929445565e-05,ceo_lastname
patch_random,Goode,40878_1993.txt_ceo_lastname_19,-2.8669051971519366e-05,2,-5.733810394303873e-05,ceo_lastname
clean,McCraw,37748_1993.txt_ceo_lastname_63,-0.0013791456585749984,2,-0.0027582913171499968,ceo_lastname
qr_ablate,McCraw,37748_1993.txt_ceo_lastname_63,-0.002064173109829426,2,-0.004128346219658852,ceo_lastname
patch_qr,McCraw,37748_1993.txt_ceo_lastname_63,-0.009208433330059052,2,-0.018416866660118103,ceo_lastname
patch_bottom,McCraw,37748_1993.txt_ceo_lastname_63,-0.002064173109829426,2,-0.004128346219658852,ceo_lastname
patch_same_layer,McCraw,37748_1993.txt_ceo_lastname_63,-0.002002910478040576,2,-0.004005820956081152,ceo_lastname
patch_random,McCraw,37748_1993.txt_ceo_lastname_63,-0.002064173109829426,2,-0.004128346219658852,ceo_lastname
clean,Goodes,104669_1993.txt_ceo_lastname_84,-1.6808238797239028e-05,2,-3.3616477594478056e-05,ceo_lastname
qr_ablate,Goodes,104669_1993.txt_ceo_lastname_84,-6.0197133279871196e-05,2,-0.00012039426655974239,ceo_lastname
