condition,mean_margin,mean_margin_shift_vs_cf_clean,mean_margin_shift_vs_cf_qr_ablate,median_margin,median_margin_shift_vs_cf_clean,median_margin_shift_vs_cf_qr_ablate,n,task
cf_clean,-3.0175910808029585,0.0,nan,-0.2578124701976776,0.0,nan,16,ceo_lastname
cf_qr_ablate,0.2645649313926697,3.282156012195628,0.0,-0.3752870559692383,0.5635855346918106,0.0,16,ceo_lastname
patch_bottom,0.26127171516418457,3.278862795967143,-0.0032932162284851074,-0.37343454360961914,0.5616042762994766,-0.0009176731109619141,16,ceo_lastname
patch_qr,-1.389046567492187,1.6285445133107714,-1.6536114988848567,-0.984375,0.8609360546106473,-0.140625,16,ceo_lastname
patch_random,0.2607829123735428,3.2783739931765012,-0.003782019019126892,-0.32042646408081055,0.5289523750543594,-0.007812976837158203,16,ceo_lastname
patch_same_layer,0.20258426666259766,3.220175347465556,-0.06198066473007202,0.08590030670166016,0.49868132174015045,-0.015625,16,ceo_lastname
cf_clean,-14.041422145732213,0.0,nan,-13.2519052028656,0.0,nan,16,employees_count_total
cf_qr_ablate,-3.297812759876251,10.743609385855962,0.0,-3.635953426361084,10.486201524734497,0.0,16,employees_count_total
patch_bottom,-3.2944865077733994,10.746935637958813,0.0033262521028518677,-3.628479480743408,10.483647108078003,0.0016083717346191406,16,employees_count_total
patch_qr,-7.37750468403101,6.663917461701203,-4.0796919241547585,-7.207165956497192,6.033924894873053,-4.564872741699219,16,employees_count_total
patch_random,-3.303368389606476,10.738053756125737,-0.005555629730224609,-3.6734509468078613,10.501714944839478,-0.0009694099426269531,16,employees_count_total
patch_same_layer,-3.1642956361174583,10.877126509614754,0.13351712375879288,-3.2761616706848145,10.748196840286255,0.18211603164672852,16,employees_count_total
cf_clean,4.760994626354659,0.0,nan,4.760994626354659,0.0,nan,2,registrant_name
cf_qr_ablate,5.113591313362122,0.3525966870074626,0.0,5.113591313362122,0.3525966870074626,0.0,2,registrant_name
patch_bottom,5.095415949821472,0.3344213234668132,-0.018175363540649414,5.095415949821472,0.3344213234668132,-0.018175363540649414,2,registrant_name
patch_qr,5.157535284757614,0.39654065840295516,0.043943971395492554,5.157535284757614,0.39654065840295516,0.043943971395492554,2,registrant_name
patch_random,5.099187254905701,0.3381926285510417,-0.014404058456420898,5.099187254905701,0.3381926285510417,-0.014404058456420898,2,registrant_name
patch_same_layer,4.407144665718079,-0.35384996063658036,-0.706446647644043,4.407144665718079,-0.35384996063658036,-0.706446647644043,2,registrant_name
