condition,gold,idx,mean_logprob,num_answer_tokens,sum_logprob,task
patch_random_01,Goldsmith,201461_1993.txt_ceo_lastname_77,-3.6733107566833496,2,-7.346621513366699,ceo_lastname
patch_random_02,Goldsmith,201461_1993.txt_ceo_lastname_77,-3.8816757202148438,2,-7.7633514404296875,ceo_lastname
patch_random_03,Goldsmith,201461_1993.txt_ceo_lastname_77,-4.263103485107422,2,-8.526206970214844,ceo_lastname
patch_random_04,Goldsmith,201461_1993.txt_ceo_lastname_77,-4.528841018676758,2,-9.057682037353516,ceo_lastname
patch_random_05,Goldsmith,201461_1993.txt_ceo_lastname_77,-5.349924564361572,2,-10.699849128723145,ceo_lastname
patch_random_06,Goldsmith,201461_1993.txt_ceo_lastname_77,-4.714353084564209,2,-9.428706169128418,ceo_lastname
patch_random_07,Goldsmith,201461_1993.txt_ceo_lastname_77,-4.478534698486328,2,-8.957069396972656,ceo_lastname
patch_random_08,Goldsmith,201461_1993.txt_ceo_lastname_77,-4.416731357574463,2,-8.833462715148926,ceo_lastname
patch_random_09,Goldsmith,201461_1993.txt_ceo_lastname_77,-4.296316146850586,2,-8.592632293701172,ceo_lastname
patch_random_10,Goldsmith,201461_1993.txt_ceo_lastname_77,-4.342263698577881,2,-8.684527397155762,ceo_lastname
patch_random_11,Goldsmith,201461_1993.txt_ceo_lastname_77,-4.327757835388184,2,-8.655515670776367,ceo_lastname
patch_random_12,Goldsmith,201461_1993.txt_ceo_lastname_77,-3.5475502014160156,2,-7.095100402832031,ceo_lastname
patch_random_13,Goldsmith,201461_1993.txt_ceo_lastname_77,-4.526269435882568,2,-9.052538871765137,ceo_lastname
patch_random_14,Goldsmith,201461_1993.txt_ceo_lastname_77,-4.349602222442627,2,-8.699204444885254,ceo_lastname
patch_random_15,Goldsmith,201461_1993.txt_ceo_lastname_77,-4.807549476623535,2,-9.61509895324707,ceo_lastname
patch_random_16,Goldsmith,201461_1993.txt_ceo_lastname_77,-4.162357807159424,2,-8.324715614318848,ceo_lastname
patch_random_17,Goldsmith,201461_1993.txt_ceo_lastname_77,-4.310327529907227,2,-8.620655059814453,ceo_lastname
patch_random_18,Goldsmith,201461_1993.txt_ceo_lastname_77,-4.049956321716309,2,-8.099912643432617,ceo_lastname
patch_random_19,Goldsmith,201461_1993.txt_ceo_lastname_77,-4.143825054168701,2,-8.287650108337402,ceo_lastname
patch_matched_layer_random_00,Goldsmith,201461_1993.txt_ceo_lastname_77,-4.55493688583374,2,-9.10987377166748,ceo_lastname
patch_matched_layer_random_01,Goldsmith,201461_1993.txt_ceo_lastname_77,-4.540477752685547,2,-9.080955505371094,ceo_lastname
patch_matched_layer_random_02,Goldsmith,201461_1993.txt_ceo_lastname_77,-4.391809940338135,2,-8.78361988067627,ceo_lastname
patch_matched_layer_random_03,Goldsmith,201461_1993.txt_ceo_lastname_77,-4.388250827789307,2,-8.776501655578613,ceo_lastname
patch_matched_layer_random_04,Goldsmith,201461_1993.txt_ceo_lastname_77,-4.216927528381348,2,-8.433855056762695,ceo_lastname
patch_matched_layer_random_05,Goldsmith,201461_1993.txt_ceo_lastname_77,-4.335585117340088,2,-8.671170234680176,ceo_lastname
patch_matched_layer_random_06,Goldsmith,201461_1993.txt_ceo_lastname_77,-4.467927932739258,2,-8.935855865478516,ceo_lastname
patch_matched_layer_random_07,Goldsmith,201461_1993.txt_ceo_lastname_77,-4.361802577972412,2,-8.723605155944824,ceo_lastname
patch_matched_layer_random_08,Goldsmith,201461_1993.txt_ceo_lastname_77,-5.502394676208496,2,-11.004789352416992,ceo_lastname
patch_matched_layer_random_09,Goldsmith,201461_1993.txt_ceo_lastname_77,-4.372807502746582,2,-8.745615005493164,ceo_lastname
patch_matched_layer_random_10,Goldsmith,201461_1993.txt_ceo_lastname_77,-4.42258882522583,2,-8.84517765045166,ceo_lastname
patch_matched_layer_random_11,Goldsmith,201461_1993.txt_ceo_lastname_77,-4.228603363037109,2,-8.457206726074219,ceo_lastname
patch_matched_layer_random_12,Goldsmith,201461_1993.txt_ceo_lastname_77,-4.2120161056518555,2,-8.424032211303711,ceo_lastname
patch_matched_layer_random_13,Goldsmith,201461_1993.txt_ceo_lastname_77,-4.17031717300415,2,-8.3406343460083,ceo_lastname
patch_matched_layer_random_14,Goldsmith,201461_1993.txt_ceo_lastname_77,-4.263708114624023,2,-8.527416229248047,ceo_lastname
patch_matched_layer_random_15,Goldsmith,201461_1993.txt_ceo_lastname_77,-4.385249614715576,2,-8.770499229431152,ceo_lastname
patch_matched_layer_random_16,Goldsmith,201461_1993.txt_ceo_lastname_77,-4.29095458984375,2,-8.5819091796875,ceo_lastname
